id;Titre;Type de dossier;Date initiale;URL du dossier;État du dossier;Décision du CC;Date de la décision;Date de promulgation;Numéro de la loi;Thèmes;total_amendements;total_mots;short_title;loi_dite;assemblee_id
pjl12-495;projet de loi de modernisation de l'action publique territoriale et d'affirmation des métropoles;projet de loi;2013-04-10;https://www.senat.fr/dossier-legislatif/pjl12-495.html;promulgué;;2014-01-23;2014-01-28;Loi n° 2014-58 du 27 janvier 2014;Collectivités territoriales,Aménagement du territoire;5706;1944281;Modernisation de l'action publique territoriale et affirmation des métropoles;loi MAPTAM;14-action_publique_territoriale_metropoles
ppl18-023;proposition de loi tendant à réprimer les entraves à l'exercice des libertés ainsi qu'à la tenue des évènements et à l'exercice d'activités autorisés par la loi;proposition de loi;2018-10-09;https://www.senat.fr/dossier-legislatif/ppl18-023.html;;;;;;Société,Justice;6;90306;Entraves à des libertés, à des évènements et activités légales;;15-repression_entraves_exercice_libertes
pjl11-713;projet de loi accord de coopération entre la France et le Kazakhstan dans le domaine de l'exploration et de l'utilisation de l'espace extra-atmosphérique à des fins pacifiques;projet de loi;2012-05-04;https://www.senat.fr/dossier-legislatif/pjl11-713.html;promulgué;;;2012-12-29;Loi n° 2012-1472 du 28 décembre 2012;Affaires étrangères et coopération,Traités et conventions,Recherche, sciences et techniques;0;0;Accord Kazakhstan : espace extra-atmosphérique;;14-espace_extra_atmospherique_Kazakhstan
pjl12-518;projet de loi autorisant l'approbation du protocole additionnel à la convention entre le Gouvernement de la République française et le Gouvernement de la République italienne relative au tunnel routier sous le Mont-Blanc;projet de loi;2013-04-17;https://www.senat.fr/dossier-legislatif/pjl12-518.html;promulgué;;;2015-12-22;Loi n° 2015-1706 du 21 décembre 2015;Affaires étrangères et coopération,Union européenne,Transports;0;27705;Tunnel sous le Mont-Blanc;;14-tunnel_routier_Mont-Blanc
15-accord_securite_sociale_institut_etudes_securite;Accord de sécurité sociale avec l’Institut d’études de sécurité de l’Union européenne;projet de loi;2020-05-27;http://www.assemblee-nationale.fr/dyn/15/dossiers/accord_securite_sociale_institut_etudes_securite;;;;;;;0;0;Accord de sécurité sociale avec l’Institut d’études de sécurité de l’Union européenne;;15-accord_securite_sociale_institut_etudes_securite
pjl15-325;projet de loi pour une République numérique;projet de loi;2015-12-09;https://www.senat.fr/dossier-legislatif/pjl15-325.html;promulgué;;;2016-10-08;Loi n° 2016-1321 du 7 octobre 2016;Société,Pouvoirs publics et Constitution,Recherche, sciences et techniques;2769;787175;République numérique;;14-republique_numerique
pjl08-349;projet de loi autorisant l'approbation de l'accord de coopération en matière de sécurité intérieure entre le Gouvernement de la République française et le Gouvernement de la République de Slovénie;projet de loi;2008-09-10;https://www.senat.fr/dossier-legislatif/pjl08-349.html;promulgué;;;2010-01-03;Loi n° 2009-1792 du 31 décembre 2009;Affaires étrangères et coopération,Police et sécurité,Union européenne,Traités et conventions;0;122782;Slovénie;;13-slovenie_securite_interieure
pjl18-733;projet de loi autorisant l'approbation de l'accord entre la France et le Tchad relatif aux services aériens et de l'accord entre la France et l'Angola relatif aux services aériens;projet de loi;2019-01-09;https://www.senat.fr/dossier-legislatif/pjl18-733.html;promulgué;;;2020-02-06;Loi n° 2020-86 du 5 février 2020;Affaires étrangères et coopération,Transports;0;0;Accords France-Tchad et France-Angola;;15-accord_tchad_angola_services_aeriens
pjl12-377;projet de loi relatif à l'élection des sénateurs;projet de loi;2013-02-20;https://www.senat.fr/dossier-legislatif/pjl12-377.html;promulgué;;;2013-08-03;Loi n° 2013-702 du 2 août 2013;Collectivités territoriales,Pouvoirs publics et Constitution;82;78293;Élection des sénateurs;;14-election_des_senateurs
pjl08-613;projet de loi organique relatif à l'application de l'article 61-1 de la Constitution;projet de loi;2009-04-08;https://www.senat.fr/dossier-legislatif/pjl08-613.html;promulgué;conforme;2009-12-03;2009-12-11;Loi n° 2009-1523 du 10 décembre 2009;Pouvoirs publics et Constitution;44;41739;Conseil constitutionnel (texte organique);;13-art61-1_const_04-09
